prime one length (bin digits), 389
prime two length (bin digits), 661
modulus - n length (bin Digits), 1049
phi(n) length (bin digits), 1049
random seed used, 665
message length (bin digits), encryption time (seconds), decryption time (seconds)
80, 0.234858, 0.400076
162, 0.235823, 0.398938
139, 0.235462, 0.399477
193, 0.235132, 0.400008
0, 1.3e-05, 2.16e-05
16, 0.229811, 0.401425
145, 0.234778, 0.399456
174, 0.235529, 0.399225
182, 0.235617, 0.399201
151, 0.234732, 0.399491
163, 0.240162, 0.405954
6, 0.273653, 0.399471
96, 0.23393, 0.400843
178, 0.235265, 0.399643
41, 0.231484, 0.401352
156, 0.235205, 0.399752
47, 0.231753, 0.399458
96, 0.234298, 0.399354
104, 0.233827, 0.39979
130, 0.23522, 0.400841
146, 0.234885, 0.399818
59, 0.232647, 0.400072
14, 0.230229, 0.399362
44, 0.231504, 0.399181
2, 0.22925, 0.399708
146, 0.235545, 0.39908
135, 0.235763, 0.399483
179, 0.23504, 0.39989
149, 0.235076, 0.40086
120, 0.235035, 0.432304
187, 0.234984, 0.399479
123, 0.235951, 0.39988
99, 0.233681, 0.39913
18, 0.231332, 0.400086
101, 0.235663, 0.39918
173, 0.234979, 0.400862
99, 0.23561, 0.40053
45, 0.23352, 0.403568
166, 0.237089, 0.399979
109, 0.234071, 0.399148
135, 0.236408, 0.399838
14, 0.229669, 0.39949
72, 0.233208, 0.401513
53, 0.233881, 0.399952
148, 0.235118, 0.39907
32, 0.231234, 0.402576
51, 0.233677, 0.403506
97, 0.233726, 0.398817
163, 0.234834, 0.399254
33, 0.232032, 0.401749
180, 0.236193, 0.399142
193, 0.234796, 0.399249
34, 0.23198, 0.398958
93, 0.233501, 0.40208
113, 0.23414, 0.399177
34, 0.231359, 0.399115
68, 0.23266, 0.398566
50, 0.231568, 0.399247
174, 0.234929, 0.399094
109, 0.233262, 0.399465
45, 0.231561, 0.400084
74, 0.232798, 0.399736
179, 0.234958, 0.398631
39, 0.231873, 0.399473
15, 0.230064, 0.399295
125, 0.234561, 0.398816
124, 0.234322, 0.425403
15, 0.229451, 0.399059
80, 0.232995, 0.401896
100, 0.233751, 0.398866
135, 0.234851, 0.398729
107, 0.234176, 0.39954
33, 0.232005, 0.399438
55, 0.231756, 0.399038
73, 0.232696, 0.399263
155, 0.234883, 0.399546
176, 0.235124, 0.399242
15, 0.23034, 0.398601
82, 0.233235, 0.399296
164, 0.23466, 0.400154
151, 0.234663, 0.399345
181, 0.234885, 0.399551
148, 0.234742, 0.399126
158, 0.235009, 0.398807
11, 0.231107, 0.399547
1, 0.23008, 0.399032
40, 0.231329, 0.398613
71, 0.232799, 0.401925
150, 0.23487, 0.399477
4, 0.228257, 0.400125
2, 0.227584, 0.399218
150, 0.235786, 0.399046
157, 0.234326, 0.399742
191, 0.234903, 0.399069
136, 0.235352, 0.398935
177, 0.234556, 0.400657
11, 0.230045, 0.398989
97, 0.233515, 0.399529
198, 0.235149, 0.40207
31, 0.230718, 0.399081
188, 0.234809, 0.400053
109, 0.234166, 0.399345
173, 0.234993, 0.400826
94, 0.233997, 0.4349
19, 0.230223, 0.398712
82, 0.234649, 0.399043
55, 0.231956, 0.400135
119, 0.234889, 0.400348
156, 0.234693, 0.400111
185, 0.234593, 0.399881
84, 0.234522, 0.399097
45, 0.233446, 0.399438
19, 0.230723, 0.398837
10, 0.229916, 0.398921
89, 0.233026, 0.399215
98, 0.233596, 0.401724
83, 0.23322, 0.398718
72, 0.232624, 0.398816
108, 0.233795, 0.399331
137, 0.235124, 0.398894
88, 0.234126, 0.401797
144, 0.23481, 0.399193
129, 0.234458, 0.399296
101, 0.235084, 0.399149
190, 0.235098, 0.399059
118, 0.234088, 0.399302
168, 0.23459, 0.399613
153, 0.235091, 0.398835
183, 0.23502, 0.398589
64, 0.232714, 0.402108
197, 0.235049, 0.400079
150, 0.234789, 0.399895
121, 0.234435, 0.401874
17, 0.230248, 0.399265
86, 0.233199, 0.399188
16, 0.230157, 0.402004
189, 0.234729, 0.399369
55, 0.231929, 0.399496
185, 0.235102, 0.399164
169, 0.234896, 0.399892
185, 0.235118, 0.430831
117, 0.234227, 0.398902
27, 0.231471, 0.399014
180, 0.235017, 0.399621
159, 0.234839, 0.399574
10, 0.230379, 0.400317
34, 0.231161, 0.399662
67, 0.232248, 0.399933
172, 0.234759, 0.399267
40, 0.231374, 0.401505
180, 0.234909, 0.399184
138, 0.234642, 0.40028
34, 0.231487, 0.399479
86, 0.232932, 0.399208
117, 0.234127, 0.399549
146, 0.236143, 0.398871
158, 0.234765, 0.399188
87, 0.232988, 0.39956
101, 0.233485, 0.399636
63, 0.232569, 0.401997
51, 0.231482, 0.399159
73, 0.232644, 0.401984
144, 0.234797, 0.403886
18, 0.230433, 0.401045
93, 0.236232, 0.400095
150, 0.237155, 0.401337
28, 0.231075, 0.399604
0, 1.32e-05, 2.21e-05
55, 0.232846, 0.400166
182, 0.234592, 0.399597
183, 0.235272, 0.399498
49, 0.232217, 0.399386
38, 0.231595, 0.399145
36, 0.231241, 0.400911
126, 0.234362, 0.399247
162, 0.234666, 0.399189
179, 0.234691, 0.399388
20, 0.231459, 0.403556
135, 0.2356, 0.429499
35, 0.23113, 0.400235
85, 0.233959, 0.399148
27, 0.230768, 0.401633
168, 0.234763, 0.399352
89, 0.233561, 0.39929
60, 0.231883, 0.398851
199, 0.235021, 0.401777
109, 0.234821, 0.399068
86, 0.23416, 0.401939
167, 0.234863, 0.399296
115, 0.2357, 0.399248
142, 0.23481, 0.399645
92, 0.234272, 0.399292
80, 0.232921, 0.399104
156, 0.234737, 0.399293
47, 0.231825, 0.399417
133, 0.235136, 0.39924
3, 0.257802, 0.399994
158, 0.235033, 0.401915
71, 0.23268, 0.401265
54, 0.232823, 0.398968
146, 0.235058, 0.399951
160, 0.23497, 0.400552
153, 0.234838, 0.400432
184, 0.234771, 0.399297
107, 0.233506, 0.399281
180, 0.236609, 0.399966
118, 0.234416, 0.399037
94, 0.233621, 0.399289
104, 0.233944, 0.39948
161, 0.234981, 0.399328
120, 0.234261, 0.399709
57, 0.232401, 0.39952
78, 0.233193, 0.399018
136, 0.235144, 0.398845
104, 0.270427, 0.40143
63, 0.232204, 0.39929
87, 0.233042, 0.400025
34, 0.231855, 0.400057
2, 0.227677, 0.399184
135, 0.234859, 0.398624
1, 0.226797, 0.399556
32, 0.230475, 0.398745
20, 0.229842, 0.399179
135, 0.236754, 0.399924
20, 0.230288, 0.400641
58, 0.23247, 0.399156
194, 0.237729, 0.399109
7, 0.230842, 0.399249
