message length (char), 200
random seed used, 665
prime one length (bin digits), prime two length (bin digits), modulus - n length (bin Digits, phi(n) length (bin digits), encryption time (seconds), decryption time (seconds)
558, 558, 1115, 1115,0.379015, 0.379506
537, 606, 1142, 1142,0.383505, 0.429362
664, 336, 999, 999,0.36299, 0.187618
419, 469, 887, 887,0.184119, 0.206407
344, 639, 982, 982,0.183184, 0.338413
520, 562, 1081, 1081,0.33171, 0.359304
547, 628, 1174, 1174,0.411697, 0.471916
379, 511, 889, 889,0.166457, 0.224936
653, 516, 1168, 1168,0.479947, 0.378679
488, 397, 884, 884,0.212092, 0.171854
654, 574, 1227, 1227,0.531262, 0.46471
369, 467, 835, 835,0.144068, 0.182315
623, 450, 1072, 1072,0.38894, 0.278556
624, 456, 1079, 1079,0.39281, 0.291665
438, 599, 1036, 1036,0.257489, 0.352313
459, 458, 916, 916,0.212267, 0.210827
642, 441, 1082, 1082,0.410742, 0.284066
460, 425, 884, 884,0.200182, 0.18438
584, 501, 1084, 1084,0.374617, 0.321703
534, 570, 1103, 1103,0.351735, 0.374667
506, 577, 1082, 1082,0.323367, 0.36658
344, 540, 883, 883,0.15155, 0.235034
658, 369, 1026, 1026,0.379983, 0.212019
610, 494, 1103, 1103,0.404292, 0.326858
457, 516, 972, 972,0.239026, 0.267256
589, 465, 1053, 1053,0.349375, 0.280383
433, 371, 803, 803,0.1574, 0.135495
534, 337, 870, 870,0.226186, 0.14329
653, 604, 1256, 1256,0.554548, 0.512659
452, 334, 785, 785,0.155829, 0.115011
368, 455, 822, 822,0.140935, 0.172325
567, 387, 953, 953,0.283474, 0.193278
494, 343, 836, 836,0.194688, 0.136265
455, 402, 856, 856,0.186449, 0.165562
337, 597, 933, 933,0.166246, 0.287558
592, 431, 1022, 1022,0.335169, 0.244434
520, 390, 909, 909,0.237138, 0.177864
464, 484, 947, 947,0.231427, 0.24019
612, 578, 1189, 1189,0.468075, 0.443956
463, 396, 858, 858,0.190676, 0.162268
415, 613, 1027, 1027,0.241439, 0.353909
